Y,M,D,H,G(i),H_sun,T2m,WS10m,Int,,Electric Power (kW)
2020,1,18,19,0,0,5.8,8.69,0,,0.156885875
2020,1,18,20,0,0,5.61,8.21,0,,0.156885875
2020,1,18,21,0,0,5.44,7.66,0,,0.156885875
2020,1,18,22,0,0,5.34,7.17,0,,0.156885875
2020,1,18,23,0,0,5.33,7.1,0,,0.156885875
2020,1,19,0,0,0,5.48,7.72,0,,0.156885875
2020,1,19,1,0,0,5.65,8.83,0,,0.156885875
2020,1,19,2,0,0,5.78,9.31,0,,0.156885875
2020,1,19,3,0,0,5.94,10.28,0,,0.156885875
2020,1,19,4,0,0,5.96,10.97,0,,0.156885875
2020,1,19,5,0,0,6.02,11.03,0,,0.323028597
2020,1,19,6,0,0,6.05,11.93,0,,0.595172908
2020,1,19,7,0,0,6.07,10.76,0,,0.981274233
2020,1,19,8,0,0,6.05,10.76,0,,1.447713731
2020,1,19,9,362.55,7.51,6.21,10.69,0,,1.911261227
2020,1,19,10,620.49,11.34,6.46,10.48,0,,2.257888352
2020,1,19,11,435.97,13.28,6.74,10.34,0,,2.386876422
2020,1,19,12,597.27,13.14,6.84,9.72,0,,2.257888352
